Domain
google.com
www.google.com
microsoft.com
netflix.com
data.microsoft.com
ftl.netflix.com
prod.ftl.netflix.com
safebrowsing.googleapis.com
api-global.netflix.com
events.data.microsoft.com
live.com
windowsupdate.com
ctldl.windowsupdate.com
doubleclick.net
g.doubleclick.net
ichnaea.netflix.com
clientservices.googleapis.com
netflix.net
partner.netflix.net
prod.partner.netflix.net
preapp.prod.partner.netflix.net
nrdp.prod.ftl.netflix.com
googleusercontent.com
settings-win.data.microsoft.com
google-analytics.com
microsoftonline.com
login.microsoftonline.com
www.googleapis.com
officeapps.live.com
apple.com
www.google-analytics.com
play.google.com
facebook.com
amazonaws.com
office.com
fonts.googleapis.com
bing.com
googleads.g.doubleclick.net
update.googleapis.com
office365.com
self.events.data.microsoft.com
nexusrules.officeapps.live.com
skype.com
lencr.org
mp.microsoft.com
digicert.com
mtalk.google.com
youtube.com
lh3.googleusercontent.com
akadns.net
outlook.office365.com
googletagmanager.com
www.googletagmanager.com
com.akadns.net
clients4.google.com
msn.com
adservice.google.com
office.net
login.live.com
akamaiedge.net
icloud.com
teams.microsoft.com
accounts.google.com
edge.skype.com
config.edge.skype.com
content-autofill.googleapis.com
stats.g.doubleclick.net
ls.apple.com
outlook.office.com
itunes.apple.com
v10.events.data.microsoft.com
googlesyndication.com
yahoo.com
c.lencr.org
x1.c.lencr.org
ocsp.digicert.com
play.googleapis.com
substrate.office.com
googleadservices.com
config.teams.microsoft.com
apis.google.com
dsp.mp.microsoft.com
windows.net
prod.netflix.com
push.prod.netflix.com
pagead2.googlesyndication.com
clients6.google.com
www.youtube.com
aaplimg.com
edge.microsoft.com
www.bing.com
apple-dns.net
do.dsp.mp.microsoft.com
prod.do.dsp.mp.microsoft.com
roaming.officeapps.live.com
www.googleadservices.com
www.facebook.com
g.aaplimg.com
fe.apple-dns.net































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































