Release_date,Build_number,Knowledge_base
2022-03-08,19044.1586,KB5011487
2022-03-08,19043.1586,KB5011487
2022-03-08,19042.1586,KB5011487
2022-03-08,18363.2158,KB5011485
2022-03-08,17763.2686,KB5011503
2022-03-08,14393.5006,KB5011495
2022-03-08,10240.19235,KB5011491
2022-02-15,19044.1566 (Preview),KB5010415
2022-02-15,19043.1566 (Preview),KB5010415
2022-02-15,19042.1566 (Preview),KB5010415
2022-02-08,19044.1526,KB5010342
2022-02-08,19043.1526,KB5010342
2022-02-08,19042.1526,KB5010342
2022-02-08,18363.2094,KB5010345
2022-02-08,17763.2565,KB5010351
2022-02-08,14393.4946,KB5010359
2022-02-08,10240.19204,KB5010358
2022-01-25,19044.1503 (Preview),KB5009596
2022-01-25,19043.1503 (Preview),KB5009596
2022-01-25,19042.1503 (Preview),KB5009596
2022-01-17,19044.1469 (Out-of-band),KB5010796
2022-01-17,19043.1469 (Out-of-band),KB5010796
2022-01-17,19042.1469 (Out-of-band),KB5010796
2022-01-17,18363.2039 (Out-of-band),KB5010792
2022-01-17,14393.4889 (Out-of-band),KB5010790
2022-01-17,10240.19179 (Out-of-band),KB5010789
2022-01-11,19044.1466,KB5009543
2022-01-11,19043.1466,KB5009543
2022-01-11,19042.1466,KB5008212
2022-01-11,18363.2037,KB5009545
2022-01-11,17763.2452,KB5009557
2022-01-11,14393.4886,KB5009546
2022-01-11,10240.19177,KB5009585
2021-12-15,19041.1415,KB5008212
2021-12-14,19044.1415,KB5008212
2021-12-14,19043.1415,KB5008212
2021-12-14,19042.1415,KB5008212
2021-12-14,18363.1977,KB5008206
2021-12-14,17763.2366,KB5008218
2021-12-14,14393.4825,KB5008207
2021-12-14,10240.19145,KB5008230
2021-11-22,19044.1381 (Preview),KB5007253
2021-11-22,19043.1381 (Preview),KB5007253
2021-11-22,19042.1381 (Preview),KB5007253
2021-11-22,19041.1381 (Preview),KB5007253
2021-11-22,17763.2330 (Preview),KB5007266
2021-11-14,14393.4771,KB5008601
2021-11-09,19043.1348,KB5007186
2021-11-09,19042.1348,KB5007186
2021-11-09,19041.1348,KB5007186
2021-11-09,18363.1916,KB5007189
2021-11-09,17763.2300,KB5007206
2021-11-09,14393.477,KB5007192
2021-11-09,10240.19119,KB5007207
2021-10-26,19043.132,KB5006738 (Preview)
2021-10-26,19042.132,KB5006738 (Preview)
2021-10-26,19041.132,KB5006738 (Preview)
2021-10-12,19043.1288,KB5006670
2021-10-12,19042.1288,KB5006670
2021-10-12,19041.1288,KB5006670
2021-10-12,18363.1854,KB5006667
2021-10-12,17763.2237,KB5006672
2021-10-12,14393.4704,KB5006669
2021-10-12,10240.19086,KB5006675
2021-09-30,19043.1266,KB5005611 (Preview)
2021-09-30,19041.1266,KB5005611 (Preview)
2021-09-21,18363.1830,KB5005624 (Preview)
2021-09-21,17763.2210,KB5005625 (Preview)
2021-09-14,19043.1237,KB5005565
2021-09-14,19042.1237,KB5005565
2021-09-14,19041.1237,KB5005565
2021-09-14,18363.1801,KB5005566
2021-09-14,17763.2183,KB5005568
2021-09-14,14393.4651,KB5005573
2021-09-14,10240.1906,KB5005569
2021-09-13,19042.1266,KB5005611 (Preview)
2021-09-01,19043.1202,KB5005101 (Preview)
2021-09-01,19042.1202,KB5005101 (Preview)
2021-09-01,19041.1202,KB5005101 (Preview)
2021-08-10,19043.1165,KB5005033
2021-08-10,19042.1165,KB5005033
2021-08-10,19041.1165,KB5005033
