Release_date,Build_number,Knowledge_base
2018-09-11,14393.2485,KB4457131
2018-08-30,17134.254,KB4346783
2018-08-30,16299.637,KB4343893
2018-08-30,15063.1292,KB4343889
2018-08-30,14393.2457,KB4343884
2018-08-14,17134.228,KB4343909
2018-08-14,16299.611,KB4343897
2018-08-14,15063.1266,KB4343885
2018-08-14,14393.243,KB4343887
2018-08-14,10240.17946,KB4343892
2018-07-24,17134.191,KB4340917
2018-07-24,16299.559,KB4338817
2018-07-24,15063.1235,KB4338827
2018-07-17,16299.55,KB4345420
2018-07-16,17134.166,KB4345421
2018-07-16,15063.1208,KB4345419
2018-07-10,17134.165,KB4338819
2018-07-10,16299.547,KB4338825
2018-07-10,15063.1206,KB4338826
2018-07-10,14393.2363,KB4338814
2018-07-10,10240.17914,KB4338829
2018-06-26,17134.137,KB4294848
2018-06-21,16299.522,KB4284822
2018-06-21,15063.1182,KB4284830
2018-06-21,14393.2339,KB4284833
2018-06-13,15063.1155,KB4284874
2018-06-12,17134.112,KB4284835
2018-06-12,16299.492,KB4284819
2018-06-12,14393.2312,KB4284880
2018-06-05,17134.83,KB4338548
2018-05-24,17134.81,KB4100403
2018-05-21,16299.461,KB4103714
2018-05-17,15063.1112,KB4103722
2018-05-17,14393.2273,KB4103722
2018-05-08,17134.48,KB4103721
2018-05-08,16299.431,KB4103727
2018-05-08,15063.1088,KB4103731
2018-05-08,14393.2248,KB4103723
2018-04-27,17134.5,KB4135051
2018-04-23,16299.402,KB4093105
2018-04-18,15063.1058,KB4093117
2018-04-18,14393.2214,KB4093120
2018-04-10,17133.73,KB4100375
2018-04-10,16299.371,KB4093112
2018-04-10,15063.1029,KB4093107
2018-04-10,14393.2189,KB4093119
2018-04-10,10586.154,KB4093109
2018-04-10,10240.17831,KB4093111
2018-03-22,16299.334,KB4089848
2018-03-22,15063.997,KB4088891
2018-03-22,14393.2125,KB4088889
2018-03-20,14393.2126,KB4088787
2018-03-15,15254.313,KB4090912
2018-03-13,16299.309,KB4088776
2018-03-13,15063.968,KB4088782
2018-03-13,15063.966,KB4088782
2018-03-13,14393.2125,KB4088787
2018-03-13,10586.1478,KB4088779
2018-03-13,10240.17797,KB4088786
2018-03-08,15063.936,KB4092077
2018-03-05,16299.251,KB4090913
2018-02-14,15254.248,KB4077675
2018-02-13,16299.248,KB4074588
2018-02-13,15063.877,KB4074592
2018-02-13,14393.2034,KB4074590
2018-02-13,10586.1417,KB4074591
2018-02-13,10240.1777,KB4074596
2018-01-31,16299.214,KB4058258
2018-01-18,16299.201,KB4073291
2018-01-17,15063.877,KB4057144
2018-01-17,14393.2034,KB4057142
2018-01-05,16299.192,KB4073117
2018-01-03,16299.192,KB4056892
2018-01-03,15063.85,KB4056891
2018-01-03,14393.2007,KB4056890
2018-01-03,10586.1356,KB4056888
2018-01-03,10240.17738,KB4056893
2017-12-12,15254.124,KB4056342
2017-12-12,16299.125,KB4054517
2017-12-12,15063.786,KB4053580
2017-12-12,14393.1944,KB4053579
2017-12-12,10586.1295,KB4053578
2017-12-12,10240.17709,KB4053581
2017-11-30,16299.98,KB4051963
2017-11-28,14393.1914,KB4051033
2017-11-14,15254.12,KB4052314
2017-11-14,16299.64,KB4048955
2017-11-14,15063.726,KB4048954
2017-11-14,14393.1913,KB4051033
2017-11-14,10586.1232,KB4048952
2017-11-14,10240.17673,KB4048956
2017-11-02,15063.675,KB4049370
2017-11-02,14393.1797,KB4052231
2017-11-02,10586.1177,KB4052232
2017-10-18,14393.1794,KB4041688
2017-10-13,16299.19,KB4043961
2017-10-10,15063.674,KB4041676
2017-10-10,10586.1176,KB4041689
2017-10-03,16299.15,NA
2017-09-26,15063.632,KB4040724
2017-09-26,14393.1737,KB4038801
2017-09-12,15063.608,KB4038788
2017-09-12,14393.1715,KB4038782
2017-09-12,10586.1106,KB4038783
2017-09-12,10240.17609,KB4038781
2017-08-28,14393.167,KB4039396
2017-08-08,15063.54,KB4034674
2017-08-08,14393.1593,KB4034658
2017-08-08,10586.1045,KB4034660
2017-08-08,10240.17533,KB4034668
2017-08-02,15063.502,KB4032188
2017-07-11,14393.148,KB4025339
2017-07-11,10586.1007,KB4025344
2017-07-11,10240.17488,KB4025338
2017-07-06,15063.448,KB4034450
2017-06-27,15063.447,KB4022716
2017-06-27,14393.1378,KB4022723
2017-06-27,10586.965,KB4032693
2017-06-27,10240.17446,KB4032695
2017-06-13,15063.414,KB4022725
2017-06-13,15063.413,KB4022725
2017-06-13,14393.1358,KB4022715
2017-06-13,10586.962,KB40227714
2017-06-13,10240.17443,KB4022727
2017-05-25,15063.332,KB4020102
2017-05-09,15063.296,KB4016871
2017-05-09,15063.297,KB4016871
2017-05-09,14393.1198,KB4019472
2017-05-09,10586.916,KB4019473
2017-05-09,10240.17394,KB4019474
2017-04-25,15063.25,KB4016240
2017-04-11,15063.138,KB4015583
2017-04-11,14393.1066,KB4015217
2017-04-11,14393.1083,KB4015217
2017-04-11,10586.873,KB4015219
2017-04-11,10240.17354,KB4015221
2017-04-06,15063.13,KB4016251
2017-04-03,15063.14,KB4016252
2017-04-03,15063.13,KB4016251
2017-03-31,15063.11,KB4016250
2017-03-29,15063.22,
2017-03-22,14393.97,KB4016635
2017-03-20,14393.969,KB4015438
2017-03-14,14393.963,KB4013429
2017-03-14,10586.839,KB4013198
2017-03-14,10240.17319,KB4012606
2017-01-24,14393.726,KB3216755
2017-01-10,14393.693,KB3213986
2017-01-10,10586.753,KB3210721
2017-01-10,10240.17236,KB3210720
2017-01-03,14393.594,KB3209835
2016-12-13,14393.576,KB3206632
2016-12-13,10586.713,KB3205386
2016-12-13,10240.17202,KB3205383
2016-11-29,14393.479,KB3201845
2016-11-09,14393.448,KB3200970
2016-11-08,14393.447,KB3200970
2016-10-27,14393.351,KB3197954
2016-10-11,14393.321,KB3194798
2016-10-11,10586.633,KB3192441
2016-10-11,10240.17146,KB3192440
2016-09-29,14393.222,KB3194496
2016-09-20,14393.187 and 14393.189,KB3193494
2016-09-20,10240.17113,KB3193821
2016-09-13,14393.187 and 14393.189,KB3189866
2016-09-13,10586.589,KB3185614
2016-09-13,10240.17113,KB3185611
2016-08-31,14393.105,KB3176938
2016-08-23,14393.82,KB3176934
2016-08-09,14393.51,KB3176495
2016-08-09,10586.545,KB3176493
2016-08-09,10240.17071,KB3176492
2016-08-02,14393.1,KB3176929
2016-07-12,10586.494,KB3172985
2016-07-12,10240.17024,KB3163912
2016-06-14,10586.42,KB3163018
2016-06-14,10240.16942,KB3163017
2016-05-10,10586.318,KB3156421
2016-05-10,10240.16854,KB3156387
2016-04-12,10586.218,KB3147458
2016-04-12,10240.16769,KB3147461
2016-03-08,10586.164,KB3140768
2016-03-08,10240.16725,KB3140745
2016-03-01,10586.122,KB3140743
2016-02-09,10586.104,KB3135173
2016-02-09,10240.16683,KB3135174
